DENOMINACION_AF,CODIGO_FP,D_CONTENIDOS,D_OBJETIVOS,CODIGO_AREA_TRAD,Languagereveiw
FUTUROS DIRECTIVOS COLEGIOS SANTO ÁNGEL DE LA GUARDA 2017,Servicios socioculturales y a la comunidad,perfil direct capac habil direct liderazg dirig acompañ equip person test mbti perfil direct habil direct i trabaj equip habil direct ii clim centr motiv habil direct iii uso inteligent tiemp habil direct iv rees eficac habil direct v comun habil direct vi resolu conflict tom decision cuest cambi escuel com consegu cos cambi desarroll proyect cambi proyect direccion coordin comun famili escuel competent aprendizaj cambi metodolog optimiz recurs econom competent digital tratamient inform red social organiz centr mejor adecu diseñ escol,"1. Identificar rasgos y habilidades del Perfil Directivo    2. Reconocer las responsabilidades y exigencias de un liderazgo con visión    3. Dominar y aplicar habilidades directivas fundamentales para mejorar el clima de centro e implicar el talento de las personas en el proyecto: trabajo en equipo, motivación, uso inteligente del tiempo, rees eficaces, comunicación, resolución de conflictos, toma de decisiones    4. Transformar los Departamentos en espacios de investigación e innovación sobre aprendizaje    5. Reconocer los elementos que dificultan o favorecen la implantación de una cultura del cambio en la escuela y desarrollar un proyecto de cambio    6. Desarrollar el análisis y mejorar la capacidad de comunicación entre familias y escuela: talleres y entrevistas    7. Realizar proyectos propios de un Equipo Directivo. De dirección o coordinación, de cambio y de formación    8. Dominar las tecnologías y el tratamiento de la información en la era digital",Formación y educación,es
OPERADOR DE PLATAFORMAS ELEVADORAS,Comercio y márketing,part teoric exam tip test acredit aptitud alumn introduccion caracterist plataform tar propi operari plataform inspeccion inspeccion visual prueb operacional manipul carg seleccion accesori apropi manipul carg elev trasl maquin oper suel maquin oper cabin señal manual estand element auxiliar riesg operari plataform riesg general riesg especif med prevent manipul plataform practic import segur condicion fisic deb cont operari part practic exam practic acredit aptitud part practic explic demostr practic equip innov tecnic practic alumn,- Informar y formar en la normativa vigente respecto el manejo de equipos de trabajo automotores.  - Aplicar las normas de seguridad y salud en el manejo de maquinaria.  Tomar conciencia de que los errores de conducción por fallos humanos representan el 70% de los accidentes con maquinaria: identificar y modificar hábitos de uso incorrectos o peligrosos.  - Observar y poner en práctica: La revisión de la máquina para un correcto mantenimiento.  - Las reglas de manejo seguro.  - Analizar las situaciones de riesgo que tiene para el trabajador una incorrecta manipulación de plataformas.  - Conocer las medidas preventivas que se pueden adoptar para evitar los riesgos derivados de su manipulación. Instruir sobre la forma segura de manipulación de este tipo de equipos.,Logística comercial y gestión del transporte,es
TRADUCCIÓN JURÍDICA ON LINE,Formación complementaria,unid didact introduccion traduccion jurid jur introduccion traduccion jurid definicion tip textual traduccion jur requisit traduccion jur fuent document traduccion jurid jur unid didact sistem jurid español sistem anglosajon derech common law sistem jurid anglosajon diferent sistem jurid español sistem anglosajon unid didact lenguaj jurid ingles traduccion español rasg caracterist lenguaj jurid singular lexic deb asimetr orden jurid proces traduccion traduccion jurid labor investig previ metodolog basic unid didact traduccion derech civil i derech famili matrimoni divorci derech sucesion testament unid didact traduccion derech civil ii traduccion contrat contrat negoci jurid principal dificultad traduccion contrat tip contrat contrat compravent contrat arrend unid didact traduccion derech civil iii document traduccion poder represent traduccion trust unid didact traduccion derech mercantil tip sociedad creacion socied organ gobiern modif extincion socied unid didact traduccion derech procesal sistem judicial britan sistem judicial norteamerican sistem judicial español proces judicial unid didact traduccion derech penal introduccion delit falt clas delit sentenci unid didact sal profesional traductor jurid trabaj traductor jurid freelanc plantill tramit oblig legal trabaj cuent propi herramient informat ofimat necesari merc traduccion agenci for asoci profesional bibliograf complementari,"Este curso de traducción jurídica recoge los aspectos más importantes de esta especialidad, cada vez más demandada. En él estudiarás las principales dificultades que presentan los textos jurídicos (tanto a nivel terminológico como conceptual), sus problemas de traducción y las estrategias más adecuadas para enfrentarte a ellos.     Practicaremos realizando ejercicios de comprensión y traduciendo textos «reales» que te ayudarán a ganar seguridad y confianza. Al final del curso te contaremos cómo está actualmente el sector de la traducción jurídica y te daremos algunos consejos prácticos para establecerte como traductor jurídico.    Prueba de nivel: Para poder realizar el curso, tienes que superar una prueba de nivel. Esta prueba la realizas en la misma plataforma on line del curso. Consiste en una serie de ejercicios de ortografía y gramática en inglés y español junto con una pequeña prueba de traducción. El objetivo es garantizar tu máximo aprovechamiento del curso.",Lenguas extranjeras,es
TE75/UK GENERAL ENGLISH,Formación complementaria,present simpl i continu havehav got passat simpl i pasat continu quantitat muchmany somethinganything form verbals want to futur going towill comparatius i superlatius present perfectpassat simpl obligaci hav to should must er condicional as soon as form verbals manag to used to veu passiv on condicional i might present perfect i present simplecontinu past perfect estil indirect afirmacions negacions i pregunt homònims read book descriur pais collocacions verb preposic list to etc prefix i sufix amb verbs prefix i sufix amb substantius menjars i begud ciutats edificis botig diners i estalvis sinònims antònims adverbis professions viatg noms compost post offic adjectius avabats amb eding verb preposic formac paraul,"Entendre i utilitzar de forma adequada els temps verbals bàsics de present, passat i futur.  Parlar sobre situacions hipotètiques en el present i futur.  Expressar opinions i sentiments sobre temes específics utilitzant correctament les construccions gramaticals i amb certa fluïdesa.  Aprendre i utilitzar les regles bàsiques de lortografia anglesa.  Relatar experiències personals passades.  Millorar la comprensió de textos sobre temes generals en present i passat.  Millorar els aspectes de pronunciació i entonació.  Escriure cartes formals/informals, narracions, redaccions discursives bàsiques, informes descriptius i descripcions de persones i llocs.",Lenguas extranjeras,ca
SP33/UK-1 GENERAL ENGLISH,Formación complementaria,recycling and extension of lexical are relat to the topics of festivals and celebrations money romanc and lov the futur sports the family luck success travel the mind natur the past crim idiomatic languag sinonyms antonyms expressiv description phrasal verbs and idioms with carry tak fall word formation noun phras noun collocations compound adjectiv simil commonly confus words childish childlik word preposition expressions with various words gain control get into troubl express espontàniament i amb fluïdes sens hav busc gair paraul utilitz llengu maner flexibl i eficaç amb finalitats socials i professionals mantenint convers informals durant period temps llarg i discut tem abstract culturals amb bon grau fluïdes i dexpress formul maner precis ide i opinions i relacion hàbilment pròpi contribuc discurs amb dels altres interlocutors express ide i sentiments pronunciant maner entenedor per nadiu llengu adaptant lèxic i estructur situacions comunicativ concret express i intercanvi opinions els tem esmentats vocabulary and functions utilitz llenguatg despeculac per fer deduccions situacions divers present descripcions clar i detallad tem complex inclou altres tem desenvolup punts concrets i arrib conclus apropi explic experiènci personals i alien nivell mes avançat collabor amb altra person per arrib decis utilitz llenguatg compar i contrast diferents situacions i fotografi,"En finalitzar el curs, lalumne sap utilitzar la llengua anglesa a un nivell avançat i és capaç de:    Utilitzar amb fluïdesa una amplia gamma de construccions gramaticals complexes en varies situacions.  Utilitzar verbs modals, condicionals i passives en nous contextos.  Utilitzar correctament i amb fluïdesa vocabulari més avançat i frases fetes, expressions amb preposicions i phrasal verbs més complexos.   Intercanviar opinions i idees sobre una àmplia gamma de temes actuals, temes quotidians i assumptes personals.  Entendre una àmplia gamma de diferents tipus de textos escrits llargs i autèntics tant de forma general com de forma més detallada.  Apreciar i distingir diferents estils descriptura, històries, narracions i articles de premsa.  Entendre una amplia gamma de diferents tipus de listenings  autèntics i no autèntics tant de forma general com de forma més detallada.  Escriure a un nivell sofisticat cartes, narracions, redaccions discursives, informes, descripcions i articles utilitzant tant llenguatge formal com informal.  Expressar-se de forma més complexa i amb poques errades tant a nivell oral com escrit.",Lenguas extranjeras,ca
SE37/UK-5 GENERAL ENGLISH,Formación complementaria,verb to be pronoms subject adjectius possessius els articl aan thisthes substantius articl the thatthos present lindicatiu larticl aan professions how much cancant not veryquit adjectius s possessiu hav you got som any verb gerundi adverbis ther isar passat present progressiu futur per express planificac comparatius dels adjectius prediccions entendr tant ide principals com informac mes detall fragments orals convers descripcions etc tipus divers i nivell bàsic comprendr instruccions bàsiqu prendr part convers què parl fets i tract tem previs fer pregunt senzill tem familiars relacionats amb necessitats immediat i comprendr respost expressad llenguatg senzill utilitz expressions i fras senzill per descriur llocs i gent conegud,"En finalitzar el curs, lalumne sap utilitzar la llengua anglesa a un nivell elemental i és capaç de:    Utilitzar de forma senzilla, però correcta, les construccions gramaticals bàsiques.  Fer preguntes i comprendre respostes senzilles en situacions pràctiques de la vida quotidiana.  Respondre i formular instruccions bàsiques.  Donar informació bàsica respecte a dates, números, el temps, horaris o preus.  Expressar la seva opinió sobre les coses que li agraden o desagraden.   Descriure objectes quotidians i utilitzar adjectius bàsics.  Pronunciar amb confiança els sons bàsics de langlès.  Redactar frases senzilles utilitzant connectors bàsics.  Comprendre frases curtes i senzilles relacionades amb la seva feina o amb contextos socials comuns i familiars.  Omplir impresos senzills amb informació personal.",Lenguas extranjeras,ca
SE37/UK-4 GENERAL ENGLISH,Formación complementaria,gramm verbs auxiliars respost amb so neith pregunt indirect us question tags per confirm informac gerundi infinitiu verbs dinàmics estàtics pretèrit perfect simpl i continu larticl determinat condicionals parl indirect verbs per parl indirect passiv amb hav get estructur passiv per don informacions verbs modals els temps verbals narrac fras relatiu what utilitzat com nom what i dont lik els futurs determinants i quantificadors veu passiv,"En finalitzar el curs, lalumne sap utilitzar la llengua anglesa a un nivell intermedi i és capaç de:  Utilitzar de forma més correcta construccions gramaticals.  Entendre i utilitzar de forma adequada nous temps verbals de passat i futur.  Entendre i utilitzar en situacions adequades construccions gramaticals com have sth done,  He is said to ... o  I wish.  Parlar sobre situacions hipotètiques en el present, passat i futur.  Expressar opinions i sentiments sobre una diversitat de temes utilitzant una varietat de construccions gramaticals.  Expressar opinions amb una certa fluïdesa sobre temes actuals.  Relatar experiències personals i alienes.  Millorar en la comprensió de textos sobre temes dactualitat i generals.  Millorar els aspectes de pronunciació i entonació.  Escriure cartes, narracions, redaccions discursives, informes, descripcions i articles utilitzant tant llenguatge formal com informal.",Lenguas extranjeras,ca
SEGURIDAD LABORAL Y ENTORNO SALUDABLE,Seguridad y medio ambiente,prevencion riesg laboral propi tall entorn trabaj salud,Profundizar en la importancia de la seguridad y salud en el trabajo,Seguridad y prevención,es
NUEVA CLASIFICACIÓN DEFECTOS,Administración y gestión,principal cambi clasif defect grup defect critic defect mayor defect menor ensay fisic,PRESENTAR Y DEFINIR LA NUEVA CLASIFICACIÓN A 3 GRUPOS DE DEFECTOS ACORDADA EN Q BOTLE INTERNATIONAL VERALLIA.,Administración y auditoría,de
GESTIÓN DE NÓMINAS Y SEGUROS SOCIALES,Administración y gestión,recib salari general salari encabez period liquid nomin recib salari deveng recib salari deduccion recib salari determin bas cotiz segur social concept recaud conjunt bas sujet retencion irpf tip cotiz document cotiz bonif reduccion pag cuot recarg supuest practic aplic informat supuest practic nomin document cotiz modul voluntaari,"Proporcionar los conocimientos necesarios para poder abordar, a través de los casos prácticos, las situaciones principales que afectan al ingreso de cuotas en la Seguridad Social, pago de los salarios de los trabajadores, retenciones del IRPF, tipos de cotización, análisis de los documentos de cotización, etc.",Administración y auditoría,es
CURSO ADMINISTRADOR PDM,Informática y comunicaciones,introduccion herramient administr configur local almacen servidor archiv complement solidworks pdm dispatch list material tarjet dat list tarjet categor column tip archiv import export dat index almacen element instal configur licenci solidnetwork sistem mensaj numer revision numer seri tar plantill toolbox usuari grup variabl fluj trabaj configur servidor archiv servidor bas dat vari,usuarios con conocimientos de usuario de SOLIDWORKS PDM e interesados en aprender a administrar su PDM,Sistemas y telemática,es
PREVENCION,Seguridad y medio ambiente,concept basic segur salud trabaj salud riesg profesional factor riesg laboral incident factor riesg salud dañ deriv trabaj accident trabaj enfermedad profesional diferent accident trabaj enfermed profesional patolog deriv trabaj marc normat basic materi prevencion riesg deber oblig basic materi polit prevencion riesg laboral foment tom concienci particip inform consult propuest empresari trabaj cuestionari concept basic segur salud riesg general prevencion caid person distint mism nivel proyeccion fragment particul golp cort objet herramient atrap vuelc maquin golp atrap derrumb contact electr sobreesfuerz exposicion polv ruid dermatitis profesional riesg contamin riesg lig medi ambient trabaj contamin quimic toxicolog laboral medicion exposicion contamin correccion ambiental contamin fisic energ mecan energ termic energ electromagnet contaminat biolog carg trabaj fatig insatisfaccion laboral sistem elemental control riesg proteccion colect equip proteccion individual proteccion crane protector aparat audit protector car aparat visual protector vias respiratori proteccion extrem piel protector tronc abdom proteccion total cuerp control riesg deriv trabaj altur caracterist riesg caid altur caracterist general disposit clasif camp aplic plan emergent evacu organiz plan emergent señaliz clas señaliz utiliz señaliz optic señal form panel señal gestual señal lumin señaliz acust señaliz control salud trabaj vigil salud trabaj integr program vigil salud cuestionari riesg general prevencion riesg especif prevencion divers sector activ matriz riesg especif sector activ riesg especif sector industri riesg especif sector industri ii riesg especif sector industri iii riesg especif sector construccion riesg especif sector construccion ii riesg present obra riesg especif sector transport carreter riesg especif sector transport carreter ii riesg especif sector transport carreter iii riesg especif sector comerci hostel turism riesg especif sector comerci hostel turism ii riesg especif sector comerci hostel turism iii riesg especif sector oficin despach riesg especif sector oficin despach ii riesg especif sector sanitari riesg especif sector sanitari ii riesg especif sector sanitari iii cuestionari riesg especif prevencion divers sector activ element basic gestion prevencion intervencion administr public materi prevent organiz prevent trabaj proced general planif document recog elabor archiv represent trabaj cuestionari element basic gestion prevencion primer auxili proced general eslabon caden socorr evalu primari accident norm general situacion urgenci reanim cardiopulmon actitud segu her hemorragi fractur traumat craneoencefal lesion column quemadur lesion ocular intox mordedur picadur lesion animal marin plan actuacion cuestionari cuestionari final,"OBJETIVOS DEL CURSO     Dotar de la formación mínima necesaria para el desempeño de las funciones de nivel básico * en empresas que desarrollen actividades del Anexo I del RD 39/1997 de 39 de enero, por el que se aprueba el Reglamento de los Servicios de Prevención, BOE nº17 de 31 de enero de 1997. Esta formación mínima debe tener una duración no inferior a 50 horas, con un contenido y una distribución horaria conforme al apartado A) del Anexo IV del citado Real Decreto. *funciones de nivel básico:  Promover los comportamientos seguros y la correcta utilización de los equipos de trabajo y protección, y fomentar el interés y cooperación de los trabajadores en una acción preventiva integrada.  Promover, en particular, las actuaciones preventivas básicas, tales como el orden, la limpieza, la señalización y el mantenimiento general, y efectuar su seguimiento y control.  Realizar evaluaciones elementales de riesgos y, en su caso, establecer medidas preventivas del mismo carácter compatibles con su grado de formación.  Colaborar en la evaluación y el control de los riesgos generales y específicos de la empresa, efectuando visitas al efecto, atención a quejas y sugerencias, registro de datos, y cuantas funciones análogas sean necesarias.  Actuar en caso de emergencia y primeros auxilios gestionando las primeras intervenciones al efecto.  Cooperar con los servicios de prevención.",Seguridad y prevención,es
SE37/UK-3 GENERAL ENGLISH,Formación complementaria,present lindicatiu passat adverbis freqüènci present perfect hav to obligac cancant perm pronoms relatius pronoms possessius present progressiu futur preposicions moviment passat progressiu asas adverbis comparatius prim condicional someanyn superlatius verb to infinitiu verb ing shouldshouldnt consellopin phrasal verbs verb preposic echo questions willwont futur,"En finalitzar el curs, lalumne sap utilitzar la llengua anglesa a un nivell bàsic i és capaç de:    Utilitzar de forma senzilla, però correcta, les construccions gramaticals bàsiques com els presents, el passat i el futur.  Fer preguntes i comprendre respostes senzilles utilitzant diferents temps verbals i en situacions pràctiques de la vida quotidiana.  Respondre i formular instruccions bàsiques.  Donar informació bàsica i descriptiva respecte a vacances, treball, aspecte físic i llocs, així com parlar del temps.  Formular queixes i donar consells.  Descriure objectes quotidians i comparar-los.  Reaccionar davant de situacions quotidianes (donar indicacions, trucar, anar a comprar, demanar informació).  Donar opinions, mostrar la seva acceptació o desacord, parlar de plans i del futur.  Expressar-se de manera comprensible amb una pronunciació correcta.  Escriure textos breus utilitzant connectors, adjectius i altres eines per comunicar de manera efectiva.",Lenguas extranjeras,ca
GESTIÓN DE EMOCIONES  Y ENTORNO SALUDABLE,Administración y gestión,identif manej propi emocion entorn trabaj salud,Adquirir un mejor conocimiento de emociones básicas y aprender a gestionar las propias emociones.   Identificar aquellos factores que contribuyen al bienestar físico y mental en el trabajo,Administración y auditoría,es
FRANCÉS A2,Formación complementaria,estudi verb regular irregular estudi tiemp verbal present continu futur pas continu pas simpl preterit perfect simpl continu preterit pluscuamperfec futur compuest verb estil indirect verb segu gerundi vocabulari adquir vocabulari nivel intermedi present requer inform etc gramat fras condicional segund terc tip preposicion pronombr objet relat poses trabaj expresion idiomat,"Al finalizar la acción formativa los alumnos serán capaces de  mantener una conversación sobre temas de complejidad media, requerir información, facilitar datos así como comprender textos de complejidad media y redactar textos referentes a cuestiones concretas.",Lenguas extranjeras,es
CURSO PERFECCIONAMIENTO Y ACTUALIZACION TRIBUTARIA II,Formación complementaria,novedad fiscal ejercici lpg otrasplanif fiscal oper reestructur empresarial model declar bien derech extranjer campañ irpf retribu soci administr proces concursal efect fiscal entidad atribu rent retribu especi form retribu fiscal desp recuper iva supuest mor iva oper internacional consolid iva rendimient trabaj conveni dobl imposicion desplaz internacional trabaj planif fiscal patrimonial impuest sucesion donacion empres famili delit haciend public exencion respons penal regulariz voluntari ultim jurisprudent tributari relev campañ is,"Actualización, reciclaje y perfeccionamiento en materias contables, fiscales",Competencia clave,es
C.F.G.S DISEÑO Y EDICIÓN DE PUBLICACIONES IMPRESAS Y MULTIMEDIA,Artes gráficas,modul profesional cicl format siguient material produccion grafic organiz proces preimpresion digital diseñ product grafic comercializ product grafic atencion client gestion produccion proces edicion produccion editorial diseñ estructural envas embalaj diseñ planif proyect editorial multimedi desarroll public product editorial multimedi proyect diseñ edicion public impres multimedi ingles tecnic formacion orient laboral empres inici emprendedor formacion centr trabaj,"La competencia general de este título consiste en diseñar productos gráficos, envases y embalajes, editar publicaciones impresas y electrónicas, gestionar y controlar la producción editorial, realizando la publicación y el servicio de atención al cliente, aplicando los protocolos de calidad, seguridad y prevención de riesgos laborales y asegurando su funcionalidad y respeto al medio ambiente.",Diseño gráfico y multimedia,es
CÁLCULO DE PRESTACIONES DE LA SEGURIDAD SOCIAL,Administración y gestión,ud accion protector segur social tip accion protector rent referent calcul determin prestacion asistent sanitari tip prestacion econom asistencial,"Aplicar los diferentes tipos de prestaciones que se prevén en el Sistema de la Seguridad Social para prever, reparar o superar situaciones de infortunio o estados de necesidad concretos.",Finanzas y seguros,es
INGLÉS,Formación complementaria,gramat tiemp verbal verb modal pregunt verb infinitiv ing condicional articul pronombr etc report speech passiv phrasal verbs relativ claus adjet eding word building adjet adverbi idioms part clas bas aprend bloqu vocabulari vari tem listening expresion oral tant posibl situacion cotidian roleplaying expresion escrit cart ensay articul histori critic etc,"El objetivo principal es la práctica de las cuatro destrezas básicas del idioma: hablar, comprender, leer y escribir.",Lenguas extranjeras,es
PLAN DE CONTROL VIDRIO CALIENTE,Administración y gestión,control vidri calient defect critic analisis xqs modif plan control direccion calid situacion potencial riesg segur alimentari orient vidri calient,OFRECER UNA FORMACIÓN TEÓRICO-PRÁCTICA SOBRE EL PLAN DE CONTROL DE FÁBRICA EN EL ÁREA DE VIDRIO CALIENTE.,Administración y auditoría,es
SE37/SP-02 CASTELLANO ELEMENTAL,Formación complementaria,gramat vocabulari gener masculin femenin conjug ar er ir verb ser ten llam nacional numer present indic usos articul determin pronombr personal sujet usos verb superl articul indefin adverbi much pronombr interrog demostr ten infinit verb ir numer color prend vest verb gust poses relacion parentesc,"Aunque el grado de comprensión/ expresión oral y escrita que se puede obtener con este primer nivel es limitado, permitirá al alumno desenvolverse con cierta autonomía tanto en el ámbito social como en el laboral. Al finalizar el curso, los alumnos deberán ser capaces de:    Comprender el significado de textos que presenten una complejidad baja o media.  Comprender mensajes orales sobre temas cotidianos: presentaciones, saludos, compras, comidas, información sobre el tiempo, lugares turísticos, indicaciones para llegar a un lugar, pedir información, etc.   Expresarse por escrito en ciertos ámbitos: rellenar una ficha de inscripción, describir lugares, escribir cartas-postales-correos electrónicos, narrar el proceso de fabricación de un producto o la creación de una empresa.   Expresarse oralmente para efectuar compras, pedir o dar consejos, preguntar una dirección, pedir o dar una opinión, hablar sobre gustos e intereses, hablar sobre experiencias pasadas, desenvolverse en bares y restaurantes, hablar por teléfono para reservar mesa, habitación, para quedar con alguien, hablar de la jornada laboral.",Lenguas y dialectos españoles,es
SE37/SP-01 CASTELLANO ELEMENTAL,Formación complementaria,gramat vocabulari gener masculin femenin conjug ar er ir verb ser ten llam nacional numer present indic usos articul determin pronombr personal sujet usos verb superl articul indefin adverbi much pronombr interrog demostr ten infinit verb ir numer color prend vest verb gust poses relacion parentesc present indic verb irregular verb reflex hor dias seman form impersonal verb pon tra com dia,"Aunque el grado de comprensión/ expresión oral y escrita que se puede obtener con este primer nivel es limitado, permitirá al alumno desenvolverse con cierta autonomía tanto en el ámbito social como en el laboral. Al finalizar el curso, los alumnos deberán ser capaces de:    Comprender el significado de textos que presenten una complejidad baja o media.  Comprender mensajes orales sobre temas cotidianos: presentaciones, saludos, compras, comidas, información sobre el tiempo, lugares turísticos, indicaciones para llegar a un lugar, pedir información, etc.   Expresarse por escrito en ciertos ámbitos: rellenar una ficha de inscripción, describir lugares, escribir cartas-postales-correos electrónicos, narrar el proceso de fabricación de un producto o la creación de una empresa.   Expresarse oralmente para efectuar compras, pedir o dar consejos, preguntar una dirección, pedir o dar una opinión, hablar sobre gustos e intereses, hablar sobre experiencias pasadas, desenvolverse en bares y restaurantes, hablar por teléfono para reservar mesa, habitación, para quedar con alguien, hablar de la jornada laboral.",Lenguas y dialectos españoles,es
FRANCÉS A2,Formación complementaria,verb estudi verb regular irregular estudi tiemp verbal present continu futur pas continu pas simpl preterit perfect simpl continu preterit pluscuamperfec futur compuest verb estil indirect verb segu gerundi vocabulari adquir vocabulari nivel intermedi present requer inform etc gramat fras condicional segund terc tip preposicion pronombr objet relat poses trabaj expresion idiomat,"Al finalizar la acción formativa los alumnos serán capaces de  mantener una conversación sobre temas de complejidad media, requerir información, facilitar datos así como comprender textos de complejidad media y redactar textos referentes a cuestiones concretas.",Lenguas extranjeras,es
APLICACIÓ DE LES NOVES TECNOLOGIES A L'AULA ( EDUCACIÓ INFANTIL I PRIMÀRIA),Informática y comunicaciones,mlearning dispositiu lip utilitats inicials i expert per lus gset educ i gest laul utilitats interesants lip per leducac i aplicacions educativ cerc valorac i classificac què moodl lentorn moodel i blocs creac i configur dun curs gest dusuaris i grups integrac continguts i creac dactivitats avaluac i seguiment,Conèixer el funcionament de l'IPAD  Capacitar el professorat en la utilització básica i experta dels iPads en la seva tasca docent  Conèixer i aplicar diversitat d'aplicacions per a la creació de recursos.  Conèixer les principals característiques de la plataforma Moodle.,Sistemas y telemática,ca
SAGE CONTAPLUS,Informática y comunicaciones,tem gui plataform lectur recomend tem prestacion funcion proced tem dar alta empres contaplus tem cuent tem instal actualiz contaplus tem realiz copi segur evalu tem introduccion dat contabl aplic tem util asient tem introduc asient permit calcul automat iva tem libr contabl evalu tem utiliz asient predefin oper habitual empres tem regulariz liquid iva vide tem tratamient irpf tem balanc comprob sum sald tem realiz cierr ejercici evalu tem obtencion cuent anual tem presupuest tem analit tem gestion inventari tem inform personaliz opcion evalu exam final,"Dominar la técnica contable a través de la aplicación ContaPlus, además de  analizar todas las herramientas necesarias para la gestión contable de una empresa, desarrollando el proceso lógico de creación de empresas con todas sus características, así como sus cuentas y subcuentas, gestión del diario, balances, gestión de asientos, regularización contable, cierre del ejercicio y documentos oficiales.",Sistemas y telemática,es
FRANCES INTERMEDIO,Formación complementaria,verb estudi verb regular irregular estudi tiemp verbal present continu futur pas continu pas simpl preterit perfect simpl continu preterit pluscuamperfec futur compuest verb estil indirect verb segu gerundi vocabulari adquir vocabulari nivel intermedi present requer inform etc gramat fras condicional segund terc tip preposicion pronombr objet relat poses trabaj expresion idiomat,"Al finalizar la acción formativa los alumnos serán capaces de  mantener una conversación sobre temas de complejidad media, requerir información, facilitar datos así como comprender textos de complejidad media y redactar textos referentes a cuestiones concretas.",Lenguas extranjeras,es
INGLÉS. NIVEL INTERMEDIO,Formación complementaria,expresion oral escrit bloqu vocabulari listening gramat,"El objetivo principal es la práctica de las cuatro destrezas básicas del idioma: hablar, comprender, leer y escribir.",Lenguas extranjeras,es
INGLÉS BÁSICO,Formación complementaria,verb verb to be to hav utiliz introduccion verb regular irregular estudi tiemp verbal present simpl vocabulari adquir vocabulari basic present requer inform etc gramat conjucion verb to be to hav introduccion determin fras cotidian pregunt recab inform etc fras interrog negat preposicion articul pronombr objet relat poses,"Al finalizar la acción formativa, los participantes serán capaces de utilizar expresiones básicas del idima inglés así como escribir frases o ideas básicas y sencillas.",Lenguas extranjeras,es
SE04/UK-02 GENERAL ENGLISH,Formación complementaria,gramm verbs auxiliars respost amb so neith pregunt indirect us question tags per confirm informac gerundi infinitiu verbs dinàmics estàtics pretèrit perfect simpl i continu larticl determinat condicionals parl indirect verbs per parl indirect passiv amb hav get estructur passiv per don informacions verbs modals els temps verbals narrac fras relatiu what utilitzat com nom what i dont lik els futurs determinants i quantificadors veu passiv,"En finalitzar el curs, lalumne sap utilitzar la llengua anglesa a un nivell intermedi i és capaç de:    Utilitzar de forma més correcta construccions gramaticals.    Entendre i utilitzar de forma adequada nous temps verbals de passat i futur.    Entendre i utilitzar en situacions adequades construccions gramaticals com have sth done,  He is said to ... o  I wish.    Parlar sobre situacions hipotètiques en el present, passat i futur.    Expressar opinions i sentiments sobre una diversitat de temes utilitzant una varietat de construccions gramaticals.    Expressar opinions amb una certa fluïdesa sobre temes actuals.    Relatar experiències personals i alienes.    Millorar en la comprensió de textos sobre temes dactualitat i generals.    Millorar els aspectes de pronunciació i entonació.    Escriure cartes, narracions, redaccions discursives, informes, descripcions i articles utilitzant tant llenguatge formal com informal.",Lenguas extranjeras,ca
FRANCÉS,Formación complementaria,pronom personal subject els verbs avo i être verb pronominal present interrogac present dels verbs acabats re present dels verbs pouv ven part tout depuis negac ne i pas els verbs acabats ir usos celuici celuilà celleci cellelà utilitzac ce cett ces larticl partitiu du des linfinitiu verb futur pròxim amb verb aller limperatiu present present verb fair form impersonal passat compost amb verb être els verbs connaîtr i sav preposic lexpress form passiv participi present,"Proporcionarem els coneixements de llengua francesa, per a poder establir una correcta comunicació amb els clients i proveïdors.",Lenguas extranjeras,ca
SISTEMAS DE ARCHIVO Y CLASIFICACIÓN DE DOCUMENTOS,Administración y gestión,ud archiv concept final clas archiv sistem registr clasif document manten archiv fisic manten archiv informat planif archiv gestion document flujogram represent proced proces ud utiliz optimiz sistem informat oficin analisis sistem oper instal configur sistem oper aplic gestion sistem oper gestion sistem archiv explor naveg grabacion modif intercambi inform herramient proced usar compart recurs optimiz sistem tecnic diagnost basic solucion problem proced segur integr acces proteccion inform normat legal aplic ud implant transicion sistem gestion electron document organiz funcion centr document archiv ventaj inconvenient soport informat frent soport convencional definicion fluj documental part aplic informat especif diseñ sistem clasif general tod document enfoqu sistem calid gestion document,"Aplicar las técnicas de archivo convencional e informático, utilizando los sistemas de clasificación, codificación y almacenamiento apropiados a la información y documentación que se gestiona.  Analizar procedimientos de gestión documental tipo, determinando los elementos intervinientes, garantizando la trazabilidad, vigencia y unicidad de los mismos, utilizando sistemas de representación de flujos, a través de aplicaciones informáticas de gestión documental.",Administración y auditoría,es
CHINO 1ºB,Formación complementaria,comprension audit reconoc palabr expresion basic usan habitual relat entorn inmediat alumn habl despaci clarid comprension lectur comprend palabr nombr conoc fras sencill interaccion oral particip convers form sencill siempr plant contest pregunt sencill tem neces inmediat asunt habitual expresion oral utiliz expresion fras sencill describ entorn inmediat alumn expresion escrit ser capaz escrib postal cort sencill ejempl envi felicit sab rellen formulari dat personal,Alcanzar el nivel A1-1 en chino. Este curso constituye el primer semestre de un programa anual con el objetivo de alcanzar el nivel A1 del Marco Común Europeo de Referencia para las Lenguas.,Lenguas extranjeras,es
